x y z track_id event_id
43.4 159.7 -180.6 0 0
47.6 157.1 -177.6 0 0
-52.3 248.2 -262.5 0 0
450.0 198.9 93.5 0 0
544.2 361.0 211.9 0 0
27.3 2.5 -219.8 1 0
63.9 19.5 -180.2 1 0
65.7 20.5 -178.1 1 0
101.4 43.6 -135.8 1 0
143.5 82.1 -80.2 1 0
195.1 158.9 11.1 1 0
225.3 278.0 134.4 1 0
179.0 463.5 329.9 1 0
559.4 513.1 2687.6 1 0
-25.9 -29.0 -306.5 2 0
-27.5 -30.6 -310.3 2 0
-53.8 -56.6 -374.2 2 0
-55.3 -58.2 -378.0 2 0
-85.0 -89.2 -452.0 2 0
-121.9 -130.3 -547.4 2 0
-123.2 -131.8 -550.9 2 0
-178.4 -199.2 -701.5 2 0
-238.7 -282.5 -879.5 2 0
-311.6 -400.2 -1119.5 2 0
-401.1 -582.3 -1472.4 2 0
-458.8 -735.6 -1751.4 2 0
26.3 -20.3 -281.1 3 0
28.5 -21.3 -282.8 3 0
63.4 -34.7 -309.6 3 0
65.3 -35.4 -311.1 3 0
104.8 -47.7 -340.6 3 0
106.7 -48.3 -341.9 3 0
159.7 -60.0 -380.0 3 0
161.5 -60.3 -381.3 3 0
251.2 -69.1 -444.3 3 0
352.4 -62.1 -514.4 3 0
355.7 -61.6 -516.3 3 0
497.0 -18.9 -619.3 3 0
500.3 -17.4 -621.7 3 0
648.1 81.1 -745.8 3 0
774.3 253.4 -895.9 3 0
-12.9 -38.5 -433.8 4 0
-23.9 -75.6 -640.8 4 0
-34.4 -114.4 -854.9 4 0
-34.6 -115.1 -858.9 4 0
-38.9 -132.5 -954.9 4 0
-39.0 -133.2 -958.9 4 0
-43.9 -154.3 -1074.9 4 0
-44.1 -155.1 -1078.9 4 0
-66.1 -278.7 -1752.4 4 0
-73.0 -335.1 -2052.4 4 0
-78.9 -402.1 -2411.4 4 0
-83.4 -476.8 -2811.4 4 0
-86.7 -550.0 -3202.4 4 0
-32.9 -17.5 -277.9 5 0
-70.4 -31.2 -297.5 5 0
-111.2 -47.0 -319.0 5 0
-113.1 -47.8 -320.1 5 0
-163.0 -68.4 -346.7 5 0
-241.9 -104.3 -389.3 5 0
-335.1 -152.0 -440.7 5 0
-455.6 -222.5 -510.3 5 0
-588.3 -312.5 -589.3 5 0
-718.5 -415.9 -674.3 5 0
